Volume of exports of major arms by region broken down by suppliers 2013-2023
Figures are in millions of SIPRI trend-indicator values (TIVs).
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For a list of states covered by each region see <https://www.sipri.org/databases/regional-coverage>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 25 Aug 2024 4:24:43 AM

,,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2013-2023,% of regional total
,Serbia,,,,,,,19,20,1,,,40,0.1%
,Slovakia,,,,,12,12,,,,71,154,249,0.5%
,Slovenia,,,,9,,,,,,38,2,49,0.1%
,South Africa,23,4,2,,,,,,,,,29,0.1%
,South Korea,,,,6,142,396,171,111,52,181,592,1651,3.4%
,Spain,79,,,,,3,18,181,246,166,118,810,1.7%
,Sweden,77,26,42,70,35,50,28,25,18,29,153,553,1.1%
,Switzerland,10,18,26,3,2,93,47,69,95,159,58,580,1.2%
,Turkiye,5,21,27,19,4,6,20,29,17,212,82,442,0.9%
,UAE,,,8,,,,,,1,1,,10,0%
,Ukraine,191,172,62,112,78,52,,,,,,666,1.4%
,United Kingdom,73,35,94,39,27,46,81,104,110,473,365,1446,3%
,United States,817,526,988,1118,1717,1069,1667,2192,2822,4648,5083,22645,47%
,unknown supplier(s),,,4,,,4,,,,,5,14,0%
International organizations,Regional total,5,24,3,21,25,21,70,465,240,240,0,1114,100%
,Austria,,1,1,,,,,,,,,1,0.1%
,Czechia,,,,12,12,,,,,,,24,2.2%
,France,,,,,,,,294,196,196,,686,62%
,Israel,,,,9,,,,,,,,9,0.8%
,Italy,1,,,,,,,,,,,1,0.1%
,South Africa,5,16,3,,,,,,,,,23,2.1%
,Spain,,,,,13,13,,,,,,26,2.3%
,UAE,,7,,,,,,,,,,7,0.6%
,United Kingdom,,,,,,,,66,44,44,,154,14%
,United States,,,,,,8,70,105,,,,183,16%
Middle East,Regional total,7181,8301,9964,10225,10872,8920,9347,6222,7704,11500,7772,98008,100%
,Australia,,,,40,,,60,,,,,100,0.1%
,Austria,13,11,4,4,,,,,,,,31,0%
,Belarus,,,14,28,,,,,,,,41,0%
,Belgium,21,10,2,3,,,55,24,26,23,8,172,0.2%
,Brazil,,,,11,15,18,,,,,,44,0%
,Bulgaria,,4,64,83,17,,,,,18,,186,0.2%
,Canada,53,69,137,42,19,85,188,101,88,87,29,897,0.9%
,China,26,32,103,130,137,225,52,52,65,20,15,857,0.9%
,Czechia,1,4,86,78,16,10,,,,,,195,0.2%
,Denmark,,,5,5,,,,,,,,10,0%
,Estonia,,,1,,,,,,,,,1,0%
,Finland,5,9,8,36,,,,,,,,57,0.1%
,France,833,339,1235,1178,1088,708,1677,729,998,1055,720,10560,11%
,Georgia,,,,6,7,,,,,,,13,0%
,Germany,237,570,480,565,535,281,168,372,451,777,1255,5691,5.8%
,Iran,15,52,15,5,15,,,0,,13,12,126,0.1%
,Israel,,25,71,,,,,,,,,96,0.1%
,Italy,398,174,325,317,319,201,180,580,1289,1363,885,6030,6.2%
,Jordan,,,8,1,,,80,,,,2,91,0.1%
,Malaysia,15,15,,,,,,,,,,30,0%
,Netherlands,140,204,129,112,287,126,18,,27,33,91,1168,1.2%
,New Zealand,,,1,,,,,,,,,1,0%
,North Korea,,1,,,,,,,,,,1,0%
,Norway,,,1,75,75,,,,5,5,,161,0.2%
,Pakistan,,,,,2,,1,,,1,5,8,0%
,Poland,,3,,3,,2,,,,,,8,0%
,Russia,706,450,547,955,1467,1614,1301,614,39,,21,7712,7.9%
,Saudi Arabia,,,3,,,,,,,,,3,0%
,Serbia,,,20,61,11,0,,,,,,93,0.1%
,Singapore,4,8,80,77,,,,,,,,169,0.2%
,Slovakia,1,0,3,4,,,7,10,,,,25,0%
,Slovenia,,,,1,,,,,,,,1,0%
,South Africa,17,20,29,33,35,33,24,25,23,16,10,264,0.3%
,South Korea,144,6,6,326,173,9,6,6,9,3,17,704,0.7%
,Spain,233,315,180,202,185,190,209,30,,665,677,2884,2.9%
,Sweden,73,218,66,11,10,3,,80,40,,,500,0.5%
,Switzerland,,115,195,105,45,35,17,20,10,20,20,582,0.6%
,Turkiye,68,66,62,55,28,82,192,194,175,144,109,1176,1.2%
,UAE,33,35,117,54,65,61,45,161,36,1,1,609,0.6%
,Ukraine,56,,,,8,36,64,8,19,,,191,0.2%
,United Kingdom,1002,767,759,825,938,320,157,143,172,526,586,6194,6.3%
,United States,3089,4777,5207,4795,5377,4881,4847,3075,4232,6708,3302,50289,51%
,unknown supplier(s),1,2,1,3,,,,,,21,8,37,0%
Unknown/not applicable,Regional total,32,33,13,32,17,31,48,36,7,6,3,258,100%
,Brazil,1,,,,,,,,,,,1,0.4%
,Bulgaria,6,,,,,,,,,,,6,2.3%
,Czechia,,,,,,,,,,,2,2,0.8%
,France,,,,,,,,2,,,,2,0.8%
,Iran,1,,,,,,,6,,,1,8,3.1%
,Israel,13,3,3,10,,5,,,4,5,,42,16%
,Italy,,6,,,0,0,,,3,1,,10,3.9%
,Poland,,,,,3,12,,,,,,15,5.8%
,Russia,,,,,,,,4,,,,4,1.6%
,Serbia,,,,,,,7,14,,,,22,8.5%
,Singapore,4,4,,,,,,,,,,8,3.1%
,Sweden,8,8,,8,,,15,,,,,39,15%
,Switzerland,,,,,,,12,,,,,12,4.7%
,UAE,,4,10,14,14,14,14,,,,,70,27%
,Ukraine,,8,,,,,,,,,,8,3.1%
,United States,,0,0,,,,,10,,,,10,3.9%
