Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 25 Aug 2024 5:18:23 AM

Exports by,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2013-2023,Percentage,Sum total years,Percentage of total
Denmark,8,19,22,21,13,25,2,,24,61,46,241,0.1%,241,0.1%
Indonesia,,,,85,94,15,9,,17,,,220,0.1%,220,0.1%
Romania,216,,,,,,,,,1,1,218,0.1%,218,0.1%
Ireland,40,21,10,,,,,,13,46,,131,0.0%,131,0.0%
Austria,28,16,10,17,22,8,3,10,3,3,10,128,0.0%,128,0.0%
Egypt,,7,21,,,,8,,41,41,5,122,0.0%,122,0.0%
Uzbekistan,,,34,68,,,,,,,,102,0.0%,102,0.0%
Lithuania,,,,,,60,,,2,25,8,95,0.0%,95,0.0%
Morocco,,,,,,,,,,21,73,94,0.0%,94,0.0%
Pakistan,,,,1,3,3,1,,53,1,5,66,0.0%,66,0.0%
New Zealand,,,1,6,,7,,,,29,20,62,0.0%,62,0.0%
Slovenia,,,,10,,,,,,38,2,50,0.0%,50,0.0%
North Macedonia,,,,,,,,,,31,18,50,0.0%,50,0.0%
Croatia,,,,,3,,,,,4,39,46,0.0%,46,0.0%
Greece,,,,,30,,,,,7,7,44,0.0%,44,0.0%
Hungary,41,,,,,,,,,,,41,0.0%,41,0.0%
Cyprus,,,,,,,,,,,40,40,0.0%,40,0.0%
Malaysia,15,15,,,,,1,,,,,31,0.0%,31,0.0%
Chile,,20,,,,0 ,,,,8,,28,0.0%,28,0.0%
Qatar,,,,,,3,11,,14,,,27,0.0%,27,0.0%
Colombia,,,,,10,,10,4,,,,24,0.0%,24,0.0%
Estonia,,,1,,,,,,,9,13,24,0.0%,24,0.0%
Japan,,,,,2,3,,,,,13,19,0.0%,19,0.0%
Latvia,,,,,,,,,,11,6,17,0.0%,17,0.0%
Taiwan,,,4,2,2,,2,2,3,,,16,0.0%,16,0.0%
Kyrgyzstan,,,4,5,5,,,,,,,14,0.0%,14,0.0%
Georgia,,,,6,7,,,,,,,13,0.0%,13,0.0%
North Korea,,1,,,,,,,,,13,13,0.0%,13,0.0%
Brunei,,,,12,,,,,,,,12,0.0%,12,0.0%
Sudan,11,,,,,,,,,,,11,0.0%,11,0.0%
Viet Nam,,,,,,10,,,,,,10,0.0%,10,0.0%
Saudi Arabia,,,3,5,,,,,,,3,10,0.0%,10,0.0%
Thailand,,,,2,2,,1,,3,,,9,0.0%,9,0.0%
Ecuador,,6,,,,2,,,,,,8,0.0%,8,0.0%
Oman,,,,,7,,,,,,,7,0.0%,7,0.0%
Malta,,,5,,,,,,,,,5,0.0%,5,0.0%
Nigeria,,,,,,,,,2,3,,5,0.0%,5,0.0%
Bosnia-Herzegovina,3,,,,,,,,,2,,4,0.0%,4,0.0%
Dominican Republic,,,,,4,,,,,0 ,,4,0.0%,4,0.0%
Uganda,,,,4,,,,,,,,4,0.0%,4,0.0%
Montenegro,,,,,1,,,,,,,1,0.0%,1,0.0%
Mexico,,,,,,,1,,,,,1,0.0%,1,0.0%
Panama,,,,,,,1,,,,,1,0.0%,1,0.0%
Libya HoR*,,,,1,,0 ,,,,,,1,0.0%,1,0.0%
Luxembourg,,,,,,,,,,0 ,,0 ,0.0%,0 ,0.0%
European Union**,,,,,,,0 ,,,,,0 ,0.0%,0 ,0.0%
Algeria,,,,0 ,,,,,,,,0 ,0.0%,0 ,0.0%
Bahamas,,,0 ,,,,,,,,,0 ,0.0%,0 ,0.0%
Total world export,27126,27023,28353,30784,31200,27380,27219,23758,26352,33544,29104,311844,100%,311844,

